,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
31445,0,0,1,0.0,0.0,A3S5LMVBT8ZGWY
31444,0,1,1,0.0,1.0,A39M74K06WF44Z
31443,1,1,1,1.0,1.0,A36104RBK1ME3K
31442,1,1,1,1.0,1.0,A1A5KHCCZL0GO8
31441,0,1,1,0.0,1.0,A3SMD3T0QTN109
31440,1,1,1,1.0,1.0,A1Y3AO9892NNSU
31773,1,1,1,1.0,1.0,A28EZYV2UC1S89
31439,1,1,1,1.0,1.0,A3P10LYJX9WSX
31438,1,1,1,1.0,1.0,ARH2GC0DIT04I
31437,0,0,1,0.0,0.0,ABYH29TXXBPQF
31774,1,1,1,1.0,1.0,A1JI83RLITTQST
31436,1,1,1,1.0,1.0,A2M1R94JR2B3C5
31417,1,1,1,1.0,1.0,A1F33G9XI3NIYN
31416,0,1,1,0.0,1.0,A3HJ3P3A54547W
31415,1,1,1,1.0,1.0,A25G1THYWTSR7
31782,1,1,1,1.0,1.0,A30W4TBLELNZBM
31400,1,1,1,1.0,1.0,A3W3M4LG9N6EYF
31783,1,1,1,1.0,1.0,A3W1J10LPQOIX8
31399,0,0,1,0.0,0.0,A2CNSKV0M20WT
31398,0,0,1,0.0,0.0,ATHD9KHUGV12Z
31397,0,1,1,0.0,1.0,A2DQ6EII8R2ZMD
31396,0,0,1,0.0,0.0,A1ZSH8YDB4TQMF
31395,0,0,1,0.0,0.0,A4G04CT1686OD
31394,0,0,1,0.0,0.0,AFNMR3I071X9A
31393,1,1,1,1.0,1.0,A3FTPTZ87FMSCA
31392,1,1,1,1.0,1.0,A3OSQ7CXUN63S5
31391,0,1,1,0.0,1.0,A8J8E00S1G98W
31390,0,0,1,0.0,0.0,AKQ06T21M0V0S
31784,0,0,1,0.0,0.0,A1TP2RW7KDI5AZ
31389,1,1,1,1.0,1.0,A68R9YO8GBGA
31388,1,1,1,1.0,1.0,ABRLIXG3M9EBQ
31401,0,1,1,0.0,1.0,A3F26DMU25YJJ4
31402,0,0,1,0.0,0.0,A3L76NMENMKQUK
108,0,1,1,0.0,1.0,A27QRLHP4X723E
31403,1,1,1,1.0,1.0,A2KACYD51FATDY
31414,1,1,1,1.0,1.0,AM2UXT0TOM3SY
31413,0,0,1,0.0,0.0,ASWI18XRC3T8O
31412,1,1,1,1.0,1.0,AZEJGBO0B4N5P
31778,0,0,1,0.0,0.0,A1TOCS3UUTF2XV
31411,0,1,1,0.0,1.0,AWEXTLQQYFDHA
31779,1,1,1,1.0,1.0,A34W0GX1RJ9KRO
31780,0,0,1,0.0,0.0,A1FJYME469C6FN
